activation_time_s,mean_mcherry_intensity,region,point_idx,power_density_nW,experiment_time_s
0,434.4463938,dark,1,1.9397606623469612,0.0
1,476.96816110000003,dark,1,1.9397606623469612,1.0
2,523.1228070000001,dark,1,1.9397606623469612,2.0
3,582.6965562,dark,1,1.9397606623469612,3.0
4,609.3664717,dark,1,1.9397606623469612,4.0
5,661.8856400000001,dark,1,1.9397606623469612,5.0
6,687.3781676,dark,1,1.9397606623469612,6.0
7,707.4437947,dark,1,1.9397606623469612,7.0
8,729.2761533,dark,1,1.9397606623469612,8.0
9,746.0916179,dark,1,1.9397606623469612,9.0
10,767.3307342,dark,1,1.9397606623469612,10.0
11,772.6673164,dark,1,1.9397606623469612,11.0
12,792.9701105,dark,1,1.9397606623469612,12.0
13,798.4054581,dark,1,1.9397606623469612,13.0
14,798.1332034,dark,1,1.9397606623469612,14.0
15,807.5068226,dark,1,1.9397606623469612,15.0
16,801.1371019999999,dark,1,1.9397606623469612,16.0
17,821.0831709,dark,1,1.9397606623469612,17.0
18,807.0617284,dark,1,1.9397606623469612,18.0
19,820.317089,dark,1,1.9397606623469612,19.0
20,823.9090318,dark,1,1.9397606623469612,20.0
21,822.445744,dark,1,1.9397606623469612,21.0
22,834.0591293,dark,1,1.9397606623469612,22.0
23,843.1578947,dark,1,1.9397606623469612,23.0
24,832.3391813,dark,1,1.9397606623469612,24.0
0,585.5231167000001,activated,1,1.9397606623469612,0.0
1,1060.880872,activated,1,1.9397606623469612,1.0
2,1476.282637,activated,1,1.9397606623469612,2.0
3,1733.1196850000001,activated,1,1.9397606623469612,3.0
4,1873.3976489999998,activated,1,1.9397606623469612,4.0
5,1973.555897,activated,1,1.9397606623469612,5.0
6,2036.597678,activated,1,1.9397606623469612,6.0
7,2075.840178,activated,1,1.9397606623469612,7.0
8,2105.018777,activated,1,1.9397606623469612,8.0
9,2127.822533,activated,1,1.9397606623469612,9.0
10,2144.2604,activated,1,1.9397606623469612,10.0
11,2152.746892,activated,1,1.9397606623469612,11.0
12,2174.362627,activated,1,1.9397606623469612,12.0
13,2180.990397,activated,1,1.9397606623469612,13.0
14,2180.6912239999997,activated,1,1.9397606623469612,14.0
15,2189.385137,activated,1,1.9397606623469612,15.0
16,2190.3198190000003,activated,1,1.9397606623469612,16.0
17,2200.682666,activated,1,1.9397606623469612,17.0
18,2187.512428,activated,1,1.9397606623469612,18.0
19,2201.2352079999996,activated,1,1.9397606623469612,19.0
20,2203.139722,activated,1,1.9397606623469612,20.0
21,2198.987314,activated,1,1.9397606623469612,21.0
22,2198.507934,activated,1,1.9397606623469612,22.0
23,2205.2197579999997,activated,1,1.9397606623469612,23.0
24,2200.261811,activated,1,1.9397606623469612,24.0
0,586.0,preactivation,1,1.9397606623469612,0.0
0,456.24171540000003,dark,2,1.9397606623469612,198.0
1,482.6556205,dark,2,1.9397606623469612,199.0
2,533.4847303,dark,2,1.9397606623469612,200.0
3,582.9168291,dark,2,1.9397606623469612,201.0
4,620.2157245,dark,2,1.9397606623469612,202.0
