activation_time_s,mean_mcherry_intensity,region,point_idx,power_density_nW,experiment_time_s
5,649.2813514999999,dark,2,1.9397606623469612,203.0
6,676.9441196,dark,2,1.9397606623469612,204.0
7,693.1377517999999,dark,2,1.9397606623469612,205.0
8,704.6465237000001,dark,2,1.9397606623469612,206.0
9,717.2982456,dark,2,1.9397606623469612,207.0
10,741.1520468,dark,2,1.9397606623469612,208.0
11,744.4126056,dark,2,1.9397606623469612,209.0
12,758.9031838999999,dark,2,1.9397606623469612,210.0
13,763.394412,dark,2,1.9397606623469612,211.0
14,771.85705,dark,2,1.9397606623469612,212.0
15,783.7511371,dark,2,1.9397606623469612,213.0
16,779.7758285,dark,2,1.9397606623469612,214.0
17,785.8622482000001,dark,2,1.9397606623469612,215.0
18,784.2508122,dark,2,1.9397606623469612,216.0
19,779.3833658,dark,2,1.9397606623469612,217.0
20,778.5867446000001,dark,2,1.9397606623469612,218.0
21,790.7309942,dark,2,1.9397606623469612,219.0
22,782.3853151000001,dark,2,1.9397606623469612,220.0
23,787.4431449,dark,2,1.9397606623469612,221.0
24,790.5717999,dark,2,1.9397606623469612,222.0
0,635.10009,activated,2,1.9397606623469612,198.0
1,1055.232897,activated,2,1.9397606623469612,199.0
2,1412.588765,activated,2,1.9397606623469612,200.0
3,1641.1275640000001,activated,2,1.9397606623469612,201.0
4,1761.962127,activated,2,1.9397606623469612,202.0
5,1839.6523350000002,activated,2,1.9397606623469612,203.0
6,1882.474073,activated,2,1.9397606623469612,204.0
7,1904.4849190000002,activated,2,1.9397606623469612,205.0
8,1933.601782,activated,2,1.9397606623469612,206.0
9,1949.2845300000001,activated,2,1.9397606623469612,207.0
10,1970.5399309999998,activated,2,1.9397606623469612,208.0
11,1969.20648,activated,2,1.9397606623469612,209.0
12,1985.810741,activated,2,1.9397606623469612,210.0
13,1984.7725079999998,activated,2,1.9397606623469612,211.0
14,1989.633669,activated,2,1.9397606623469612,212.0
15,1995.3258629999998,activated,2,1.9397606623469612,213.0
16,1988.0527769999999,activated,2,1.9397606623469612,214.0
17,1996.457381,activated,2,1.9397606623469612,215.0
18,1997.4131739999998,activated,2,1.9397606623469612,216.0
19,1980.235179,activated,2,1.9397606623469612,217.0
20,1982.705461,activated,2,1.9397606623469612,218.0
21,1995.713514,activated,2,1.9397606623469612,219.0
22,1983.919395,activated,2,1.9397606623469612,220.0
23,1988.8029199999999,activated,2,1.9397606623469612,221.0
24,1994.5154989999999,activated,2,1.9397606623469612,222.0
0,635.0,preactivation,2,1.9397606623469612,198.0
0,419.5419103,dark,3,3.145912743951723,374.4
1,464.91812869999995,dark,3,3.145912743951723,375.4
2,513.8291098,dark,3,3.145912743951723,376.4
3,558.8674464,dark,3,3.145912743951723,377.4
4,605.8219623,dark,3,3.145912743951723,378.4
5,627.0922677,dark,3,3.145912743951723,379.4
6,658.2079272000001,dark,3,3.145912743951723,380.4
7,677.5100715,dark,3,3.145912743951723,381.4
8,698.9369720999999,dark,3,3.145912743951723,382.4
9,700.4756335,dark,3,3.145912743951723,383.4
10,723.8966862000001,dark,3,3.145912743951723,384.4
11,728.1988303999999,dark,3,3.145912743951723,385.4
12,742.9844055,dark,3,3.145912743951723,386.4
13,744.8843405,dark,3,3.145912743951723,387.4
14,755.2962963,dark,3,3.145912743951723,388.4
15,749.3807667,dark,3,3.145912743951723,389.4
16,748.7069526,dark,3,3.145912743951723,390.4
17,770.4067576,dark,3,3.145912743951723,391.4
18,757.1910331,dark,3,3.145912743951723,392.4
19,765.2072775,dark,3,3.145912743951723,393.4
20,761.2469136,dark,3,3.145912743951723,394.4
21,756.1481481000001,dark,3,3.145912743951723,395.4
22,765.994152,dark,3,3.145912743951723,396.4
23,760.9291747999999,dark,3,3.145912743951723,397.4
24,757.7511371,dark,3,3.145912743951723,398.4
25,764.3495776000001,dark,3,3.145912743951723,399.4
26,754.6582196,dark,3,3.145912743951723,400.4
0,581.167945,activated,3,3.145912743951723,374.4
1,978.6208726,activated,3,3.145912743951723,375.4
2,1272.473777,activated,3,3.145912743951723,376.4
3,1419.182402,activated,3,3.145912743951723,377.4
4,1516.984811,activated,3,3.145912743951723,378.4
5,1557.528383,activated,3,3.145912743951723,379.4
6,1598.715801,activated,3,3.145912743951723,380.4
7,1609.555468,activated,3,3.145912743951723,381.4
8,1630.85536,activated,3,3.145912743951723,382.4
9,1630.449566,activated,3,3.145912743951723,383.4
10,1646.757181,activated,3,3.145912743951723,384.4
11,1650.019839,activated,3,3.145912743951723,385.4
12,1656.820472,activated,3,3.145912743951723,386.4
13,1656.841542,activated,3,3.145912743951723,387.4
14,1663.224978,activated,3,3.145912743951723,388.4
15,1661.12055,activated,3,3.145912743951723,389.4
16,1659.526624,activated,3,3.145912743951723,390.4
17,1662.266293,activated,3,3.145912743951723,391.4
18,1661.366639,activated,3,3.145912743951723,392.4
19,1657.573385,activated,3,3.145912743951723,393.4
20,1658.376346,activated,3,3.145912743951723,394.4
21,1654.054054,activated,3,3.145912743951723,395.4
22,1655.0698810000001,activated,3,3.145912743951723,396.4
23,1657.1636429999999,activated,3,3.145912743951723,397.4
24,1644.7704529999999,activated,3,3.145912743951723,398.4
25,1642.301408,activated,3,3.145912743951723,399.4
26,1633.98628,activated,3,3.145912743951723,400.4
0,581.0,preactivation,3,3.145912743951723,374.4
0,452.54905779999996,dark,4,3.145912743951723,468.0
1,485.9889539,dark,4,3.145912743951723,469.0
2,526.5178687,dark,4,3.145912743951723,470.0
3,576.725796,dark,4,3.145912743951723,471.0
4,618.5977908,dark,4,3.145912743951723,472.0
5,650.2222222,dark,4,3.145912743951723,473.0
6,683.6491227999999,dark,4,3.145912743951723,474.0
7,700.6842105000001,dark,4,3.145912743951723,475.0
8,713.3996101,dark,4,3.145912743951723,476.0
9,722.4964262999999,dark,4,3.145912743951723,477.0
10,743.1111111,dark,4,3.145912743951723,478.0
11,743.1604937999999,dark,4,3.145912743951723,479.0
12,756.7530864,dark,4,3.145912743951723,480.0
13,757.7602339,dark,4,3.145912743951723,481.0
14,765.6387264,dark,4,3.145912743951723,482.0
15,769.0935672999999,dark,4,3.145912743951723,483.0
16,765.4983756,dark,4,3.145912743951723,484.0
17,774.5159194,dark,4,3.145912743951723,485.0
18,781.1897336000001,dark,4,3.145912743951723,486.0
19,783.8947368,dark,4,3.145912743951723,487.0
20,786.934373,dark,4,3.145912743951723,488.0
21,774.5867446000001,dark,4,3.145912743951723,489.0
22,766.2904482999999,dark,4,3.145912743951723,490.0
23,774.0682261,dark,4,3.145912743951723,491.0
24,784.5146199,dark,4,3.145912743951723,492.0
25,799.920078,dark,4,3.145912743951723,493.0
26,802.7498376,dark,4,3.145912743951723,494.0
0,625.5065463,activated,4,3.145912743951723,468.0
1,1061.447987,activated,4,3.145912743951723,469.0
2,1297.749261,activated,4,3.145912743951723,470.0
3,1459.0252039999998,activated,4,3.145912743951723,471.0
4,1542.859134,activated,4,3.145912743951723,472.0
5,1586.134229,activated,4,3.145912743951723,473.0
6,1627.624124,activated,4,3.145912743951723,474.0
7,1647.092345,activated,4,3.145912743951723,475.0
8,1649.1209099999999,activated,4,3.145912743951723,476.0
9,1671.291271,activated,4,3.145912743951723,477.0
10,1684.3596710000002,activated,4,3.145912743951723,478.0
11,1688.9284,activated,4,3.145912743951723,479.0
12,1697.439498,activated,4,3.145912743951723,480.0
13,1695.691346,activated,4,3.145912743951723,481.0
14,1705.604186,activated,4,3.145912743951723,482.0
15,1702.812936,activated,4,3.145912743951723,483.0
16,1699.732389,activated,4,3.145912743951723,484.0
17,1699.199286,activated,4,3.145912743951723,485.0
18,1712.7532030000002,activated,4,3.145912743951723,486.0
19,1708.9942,activated,4,3.145912743951723,487.0
20,1712.029309,activated,4,3.145912743951723,488.0
21,1704.6231309999998,activated,4,3.145912743951723,489.0
22,1702.584521,activated,4,3.145912743951723,490.0
23,1705.4511739999998,activated,4,3.145912743951723,491.0
24,1707.572596,activated,4,3.145912743951723,492.0
25,1711.3132289999999,activated,4,3.145912743951723,493.0
26,1709.673243,activated,4,3.145912743951723,494.0
0,626.0,preactivation,4,3.145912743951723,468.0
0,464.8817414,dark,5,0.08981012365831499,644.4
1,473.07732289999996,dark,5,0.08981012365831499,645.4
2,483.51267060000004,dark,5,0.08981012365831499,646.4
3,488.1851852,dark,5,0.08981012365831499,647.4
4,486.14165039999995,dark,5,0.08981012365831499,648.4
5,487.8265107,dark,5,0.08981012365831499,649.4
6,494.5211176,dark,5,0.08981012365831499,650.4
7,501.02988949999997,dark,5,0.08981012365831499,651.4
8,506.0890188,dark,5,0.08981012365831499,652.4
9,508.92917479999994,dark,5,0.08981012365831499,653.4
10,510.7693307,dark,5,0.08981012365831499,654.4
11,510.52696560000004,dark,5,0.08981012365831499,655.4
12,510.9278752,dark,5,0.08981012365831499,656.4
13,513.705653,dark,5,0.08981012365831499,657.4
14,508.8349578,dark,5,0.08981012365831499,658.4
15,518.6699155,dark,5,0.08981012365831499,659.4
16,512.3859649,dark,5,0.08981012365831499,660.4
17,512.8479532,dark,5,0.08981012365831499,661.4
18,510.6601688999999,dark,5,0.08981012365831499,662.4
19,513.7569851,dark,5,0.08981012365831499,663.4
20,503.6556205,dark,5,0.08981012365831499,664.4
21,516.0350877000001,dark,5,0.08981012365831499,665.4
22,513.91423,dark,5,0.08981012365831499,666.4
23,513.5588044,dark,5,0.08981012365831499,667.4
24,522.2469136,dark,5,0.08981012365831499,668.4
25,520.1676413,dark,5,0.08981012365831499,669.4
26,507.10786219999994,dark,5,0.08981012365831499,670.4
27,513.8901883999999,dark,5,0.08981012365831499,671.4
28,508.5289149,dark,5,0.08981012365831499,672.4
29,514.8492528,dark,5,0.08981012365831499,673.4
30,515.9694607,dark,5,0.08981012365831499,674.4
31,515.7017544,dark,5,0.08981012365831499,675.4
32,515.1312541,dark,5,0.08981012365831499,676.4
33,518.977258,dark,5,0.08981012365831499,677.4
34,506.92917479999994,dark,5,0.08981012365831499,678.4
35,518.9051331999999,dark,5,0.08981012365831499,679.4
36,514.1637427000001,dark,5,0.08981012365831499,680.4
37,515.2261209,dark,5,0.08981012365831499,681.4
38,512.5821962,dark,5,0.08981012365831499,682.4
39,512.3014945,dark,5,0.08981012365831499,683.4
40,515.1721897,dark,5,0.08981012365831499,684.4
41,515.625731,dark,5,0.08981012365831499,685.4
42,517.8622482,dark,5,0.08981012365831499,686.4
43,514.1221572,dark,5,0.08981012365831499,687.4
44,512.2423652,dark,5,0.08981012365831499,688.4
0,653.4972217999999,activated,5,0.08981012365831499,644.4
1,681.6065085,activated,5,0.08981012365831499,645.4
2,734.8899585,activated,5,0.08981012365831499,646.4
3,778.1542311000001,activated,5,0.08981012365831499,647.4
4,805.7509217,activated,5,0.08981012365831499,648.4
5,841.2907249,activated,5,0.08981012365831499,649.4
6,877.4046099999999,activated,5,0.08981012365831499,650.4
7,896.5176706,activated,5,0.08981012365831499,651.4
8,917.2704212000001,activated,5,0.08981012365831499,652.4
9,931.141394,activated,5,0.08981012365831499,653.4
10,945.0170581,activated,5,0.08981012365831499,654.4
11,955.365251,activated,5,0.08981012365831499,655.4
12,959.4167562000001,activated,5,0.08981012365831499,656.4
13,972.3936889,activated,5,0.08981012365831499,657.4
14,977.0641332999999,activated,5,0.08981012365831499,658.4
15,986.9800505000001,activated,5,0.08981012365831499,659.4
16,984.1918367000001,activated,5,0.08981012365831499,660.4
17,993.3836269999999,activated,5,0.08981012365831499,661.4
18,990.1246843,activated,5,0.08981012365831499,662.4
19,994.3406449999999,activated,5,0.08981012365831499,663.4
20,988.6936511,activated,5,0.08981012365831499,664.4
21,998.1625686000001,activated,5,0.08981012365831499,665.4
22,992.4407408,activated,5,0.08981012365831499,666.4
23,992.8010972999999,activated,5,0.08981012365831499,667.4
24,993.4477952,activated,5,0.08981012365831499,668.4
25,997.783958,activated,5,0.08981012365831499,669.4
26,993.8133306,activated,5,0.08981012365831499,670.4
27,995.7249803999999,activated,5,0.08981012365831499,671.4
28,991.5315296,activated,5,0.08981012365831499,672.4
29,1000.5682699999999,activated,5,0.08981012365831499,673.4
30,1001.8072050000001,activated,5,0.08981012365831499,674.4
31,1003.2650269999999,activated,5,0.08981012365831499,675.4
32,1006.612727,activated,5,0.08981012365831499,676.4
33,1009.417139,activated,5,0.08981012365831499,677.4
34,1000.043255,activated,5,0.08981012365831499,678.4
35,1014.9329230000001,activated,5,0.08981012365831499,679.4
36,1016.7488490000001,activated,5,0.08981012365831499,680.4
37,1018.236862,activated,5,0.08981012365831499,681.4
38,1017.755398,activated,5,0.08981012365831499,682.4
39,1014.6929949999999,activated,5,0.08981012365831499,683.4
40,1015.7775019999999,activated,5,0.08981012365831499,684.4
41,1014.778018,activated,5,0.08981012365831499,685.4
42,1011.887427,activated,5,0.08981012365831499,686.4
43,1004.3003279999999,activated,5,0.08981012365831499,687.4
44,1005.741533,activated,5,0.08981012365831499,688.4
0,654.0,preactivation,5,0.08981012365831499,644.4
0,485.99415199999993,dark,6,0.08981012365831499,792.0
1,479.9070825,dark,6,0.08981012365831499,793.0
2,485.33658219999995,dark,6,0.08981012365831499,794.0
3,491.8421053,dark,6,0.08981012365831499,795.0
4,490.1195582,dark,6,0.08981012365831499,796.0
5,497.4535413,dark,6,0.08981012365831499,797.0
6,496.91812869999995,dark,6,0.08981012365831499,798.0
7,495.56140350000004,dark,6,0.08981012365831499,799.0
8,496.32683560000004,dark,6,0.08981012365831499,800.0
9,494.8213125,dark,6,0.08981012365831499,801.0
10,502.34307989999996,dark,6,0.08981012365831499,802.0
11,498.97660819999993,dark,6,0.08981012365831499,803.0
12,505.58024689999996,dark,6,0.08981012365831499,804.0
13,501.8823912,dark,6,0.08981012365831499,805.0
14,505.01494479999997,dark,6,0.08981012365831499,806.0
15,502.5977908,dark,6,0.08981012365831499,807.0
16,503.8291098,dark,6,0.08981012365831499,808.0
17,506.9207277,dark,6,0.08981012365831499,809.0
18,499.4184535,dark,6,0.08981012365831499,810.0
19,509.1708902,dark,6,0.08981012365831499,811.0
20,501.9265757,dark,6,0.08981012365831499,812.0
21,510.63352829999997,dark,6,0.08981012365831499,813.0
22,506.9980507,dark,6,0.08981012365831499,814.0
23,507.78687460000003,dark,6,0.08981012365831499,815.0
24,500.77387910000004,dark,6,0.08981012365831499,816.0
25,502.11176090000004,dark,6,0.08981012365831499,817.0
26,513.8810916,dark,6,0.08981012365831499,818.0
27,510.11436,dark,6,0.08981012365831499,819.0
28,506.9948018,dark,6,0.08981012365831499,820.0
29,503.74269010000006,dark,6,0.08981012365831499,821.0
30,502.79012350000005,dark,6,0.08981012365831499,822.0
31,499.59844050000004,dark,6,0.08981012365831499,823.0
32,498.23651720000004,dark,6,0.08981012365831499,824.0
33,504.4002598999999,dark,6,0.08981012365831499,825.0
34,504.2326186000001,dark,6,0.08981012365831499,826.0
0,681.9970447000001,activated,6,0.08981012365831499,792.0
1,699.4799720999999,activated,6,0.08981012365831499,793.0
2,733.2139344999999,activated,6,0.08981012365831499,794.0
3,767.2419833,activated,6,0.08981012365831499,795.0
4,801.3256422999999,activated,6,0.08981012365831499,796.0
5,829.4558481,activated,6,0.08981012365831499,797.0
6,851.4571950999999,activated,6,0.08981012365831499,798.0
7,875.3034807,activated,6,0.08981012365831499,799.0
8,887.8609922,activated,6,0.08981012365831499,800.0
9,902.7769617,activated,6,0.08981012365831499,801.0
10,915.4482945,activated,6,0.08981012365831499,802.0
11,924.7259094000001,activated,6,0.08981012365831499,803.0
12,929.4187651000001,activated,6,0.08981012365831499,804.0
13,935.4429181,activated,6,0.08981012365831499,805.0
14,938.8185269999999,activated,6,0.08981012365831499,806.0
15,944.0438877,activated,6,0.08981012365831499,807.0
16,947.0628502000001,activated,6,0.08981012365831499,808.0
17,946.0099805,activated,6,0.08981012365831499,809.0
18,948.6340697,activated,6,0.08981012365831499,810.0
19,951.8726391000001,activated,6,0.08981012365831499,811.0
20,957.2470867999999,activated,6,0.08981012365831499,812.0
21,957.4993758999999,activated,6,0.08981012365831499,813.0
22,963.5404186000001,activated,6,0.08981012365831499,814.0
23,964.3101575999999,activated,6,0.08981012365831499,815.0
24,963.4162104000001,activated,6,0.08981012365831499,816.0
25,965.5690597000001,activated,6,0.08981012365831499,817.0
26,968.9315063999999,activated,6,0.08981012365831499,818.0
27,965.7967602,activated,6,0.08981012365831499,819.0
28,962.9020117999999,activated,6,0.08981012365831499,820.0
29,964.329242,activated,6,0.08981012365831499,821.0
30,967.7499521,activated,6,0.08981012365831499,822.0
31,963.6622986,activated,6,0.08981012365831499,823.0
32,960.933103,activated,6,0.08981012365831499,824.0
33,961.8727029999999,activated,6,0.08981012365831499,825.0
34,964.8195489,activated,6,0.08981012365831499,826.0
0,682.0,preactivation,6,0.08981012365831499,792.0
0,493.40350880000005,dark,7,0.022175339174892592,910.8
1,499.68291100000005,dark,7,0.022175339174892592,911.8
2,502.06562699999995,dark,7,0.022175339174892592,912.8
3,501.20207930000004,dark,7,0.022175339174892592,913.8
4,499.2046784,dark,7,0.022175339174892592,914.8
5,498.605588,dark,7,0.022175339174892592,915.8
6,502.7030539,dark,7,0.022175339174892592,916.8
7,508.49317740000004,dark,7,0.022175339174892592,917.8
8,508.4269006,dark,7,0.022175339174892592,918.8
9,511.1474984,dark,7,0.022175339174892592,919.8
10,509.74983760000003,dark,7,0.022175339174892592,920.8
11,509.9441196,dark,7,0.022175339174892592,921.8
12,513.6796621,dark,7,0.022175339174892592,922.8
13,515.1124106999999,dark,7,0.022175339174892592,923.8
14,516.2358674,dark,7,0.022175339174892592,924.8
15,519.9070825,dark,7,0.022175339174892592,925.8
16,512.9974009,dark,7,0.022175339174892592,926.8
17,498.07277450000004,dark,7,0.022175339174892592,927.8
18,491.8888888999999,dark,7,0.022175339174892592,928.8
19,491.66861600000004,dark,7,0.022175339174892592,929.8
20,485.6023392,dark,7,0.022175339174892592,930.8
21,479.7673813999999,dark,7,0.022175339174892592,931.8
22,470.1669916,dark,7,0.022175339174892592,932.8
23,475.9727096,dark,7,0.022175339174892592,933.8
24,467.9785575,dark,7,0.022175339174892592,934.8
25,466.68096169999995,dark,7,0.022175339174892592,935.8
26,467.29954519999995,dark,7,0.022175339174892592,936.8
27,457.525666,dark,7,0.022175339174892592,937.8
28,460.3339831,dark,7,0.022175339174892592,938.8
29,457.39051330000007,dark,7,0.022175339174892592,939.8
30,458.44704349999995,dark,7,0.022175339174892592,940.8
31,456.00454840000003,dark,7,0.022175339174892592,941.8
32,453.56855099999996,dark,7,0.022175339174892592,942.8
33,450.5100715,dark,7,0.022175339174892592,943.8
34,458.67251460000006,dark,7,0.022175339174892592,944.8
35,455.37751789999993,dark,7,0.022175339174892592,945.8
36,453.6816114,dark,7,0.022175339174892592,946.8
37,450.92007800000005,dark,7,0.022175339174892592,947.8
38,454.9265757,dark,7,0.022175339174892592,948.8
39,452.07992199999995,dark,7,0.022175339174892592,949.8
40,450.597141,dark,7,0.022175339174892592,950.8
41,445.6926576,dark,7,0.022175339174892592,951.8
42,450.4139051,dark,7,0.022175339174892592,952.8
0,682.5019595,activated,7,0.022175339174892592,910.8
1,687.0801462999999,activated,7,0.022175339174892592,911.8
2,697.6074317000001,activated,7,0.022175339174892592,912.8
3,709.4741313,activated,7,0.022175339174892592,913.8
4,720.1603855000001,activated,7,0.022175339174892592,914.8
5,730.4839724999999,activated,7,0.022175339174892592,915.8
6,739.8136035,activated,7,0.022175339174892592,916.8
7,749.1481116,activated,7,0.022175339174892592,917.8
8,757.934572,activated,7,0.022175339174892592,918.8
9,764.0945104,activated,7,0.022175339174892592,919.8
10,769.6617006,activated,7,0.022175339174892592,920.8
11,772.689465,activated,7,0.022175339174892592,921.8
12,776.8277121,activated,7,0.022175339174892592,922.8
13,787.720562,activated,7,0.022175339174892592,923.8
14,789.6234447,activated,7,0.022175339174892592,924.8
15,790.1085842,activated,7,0.022175339174892592,925.8
16,784.3213691000001,activated,7,0.022175339174892592,926.8
17,766.2371062999999,activated,7,0.022175339174892592,927.8
18,754.1693094,activated,7,0.022175339174892592,928.8
19,747.4709786000001,activated,7,0.022175339174892592,929.8
20,739.5989549,activated,7,0.022175339174892592,930.8
21,734.5624292,activated,7,0.022175339174892592,931.8
22,721.5692107000001,activated,7,0.022175339174892592,932.8
23,720.3625802,activated,7,0.022175339174892592,933.8
24,714.4469533,activated,7,0.022175339174892592,934.8
25,711.8814701,activated,7,0.022175339174892592,935.8
26,713.7100009,activated,7,0.022175339174892592,936.8
27,710.2688304,activated,7,0.022175339174892592,937.8
28,712.9006706,activated,7,0.022175339174892592,938.8
29,706.6406712,activated,7,0.022175339174892592,939.8
30,703.1198768999999,activated,7,0.022175339174892592,940.8
31,705.1780997000001,activated,7,0.022175339174892592,941.8
32,701.7440763999999,activated,7,0.022175339174892592,942.8
33,699.4590647000001,activated,7,0.022175339174892592,943.8
34,700.8543502,activated,7,0.022175339174892592,944.8
35,701.7333758999999,activated,7,0.022175339174892592,945.8
36,698.875815,activated,7,0.022175339174892592,946.8
37,698.9865242000001,activated,7,0.022175339174892592,947.8
38,698.4460766,activated,7,0.022175339174892592,948.8
39,697.8814643,activated,7,0.022175339174892592,949.8
40,700.0716869,activated,7,0.022175339174892592,950.8
41,700.2518767999999,activated,7,0.022175339174892592,951.8
42,697.7527853999999,activated,7,0.022175339174892592,952.8
0,682.0,preactivation,7,0.022175339174892592,910.8
0,451.8102664,dark,8,1.3859586984307867e-05,1105.2
1,445.90513319999997,dark,8,1.3859586984307867e-05,1106.2
2,449.94606889999994,dark,8,1.3859586984307867e-05,1107.2
3,447.1780377,dark,8,1.3859586984307867e-05,1108.2
4,448.38596490000003,dark,8,1.3859586984307867e-05,1109.2
5,449.87784280000005,dark,8,1.3859586984307867e-05,1110.2
6,448.80441849999994,dark,8,1.3859586984307867e-05,1111.2
7,458.30084469999997,dark,8,1.3859586984307867e-05,1112.2
8,453.5243665,dark,8,1.3859586984307867e-05,1113.2
9,457.44379469999996,dark,8,1.3859586984307867e-05,1114.2
10,453.0844704,dark,8,1.3859586984307867e-05,1115.2
11,461.5276153,dark,8,1.3859586984307867e-05,1116.2
12,455.26640679999997,dark,8,1.3859586984307867e-05,1117.2
13,459.67966210000003,dark,8,1.3859586984307867e-05,1118.2
14,461.10656270000004,dark,8,1.3859586984307867e-05,1119.2
15,463.1494477,dark,8,1.3859586984307867e-05,1120.2
16,466.80636780000003,dark,8,1.3859586984307867e-05,1121.2
17,470.3463288,dark,8,1.3859586984307867e-05,1122.2
18,469.28200130000005,dark,8,1.3859586984307867e-05,1123.2
19,465.67771280000005,dark,8,1.3859586984307867e-05,1124.2
20,468.90058480000005,dark,8,1.3859586984307867e-05,1125.2
21,465.16114360000006,dark,8,1.3859586984307867e-05,1126.2
22,468.5906433,dark,8,1.3859586984307867e-05,1127.2
23,468.43274850000006,dark,8,1.3859586984307867e-05,1128.2
24,468.7173489,dark,8,1.3859586984307867e-05,1129.2
25,456.905783,dark,8,1.3859586984307867e-05,1130.2
26,463.32098770000005,dark,8,1.3859586984307867e-05,1131.2
27,465.00454840000003,dark,8,1.3859586984307867e-05,1132.2
28,459.77777779999997,dark,8,1.3859586984307867e-05,1133.2
29,463.97140999999993,dark,8,1.3859586984307867e-05,1134.2
30,459.5321637,dark,8,1.3859586984307867e-05,1135.2
31,461.56075369999996,dark,8,1.3859586984307867e-05,1136.2
32,455.3710201,dark,8,1.3859586984307867e-05,1137.2
33,464.16439249999996,dark,8,1.3859586984307867e-05,1138.2
34,464.97595839999997,dark,8,1.3859586984307867e-05,1139.2
35,462.1949318,dark,8,1.3859586984307867e-05,1140.2
36,464.6081871,dark,8,1.3859586984307867e-05,1141.2
37,451.2774529,dark,8,1.3859586984307867e-05,1142.2
38,461.43599739999996,dark,8,1.3859586984307867e-05,1143.2
39,458.67641330000004,dark,8,1.3859586984307867e-05,1144.2
40,454.80246910000005,dark,8,1.3859586984307867e-05,1145.2
41,454.65627029999996,dark,8,1.3859586984307867e-05,1146.2
42,462.41130599999997,dark,8,1.3859586984307867e-05,1147.2
43,455.3950617,dark,8,1.3859586984307867e-05,1148.2
44,455.2326186000001,dark,8,1.3859586984307867e-05,1149.2
45,462.5471085,dark,8,1.3859586984307867e-05,1150.2
46,455.4788824,dark,8,1.3859586984307867e-05,1151.2
47,459.8719948,dark,8,1.3859586984307867e-05,1152.2
48,457.18908380000005,dark,8,1.3859586984307867e-05,1153.2
49,455.87979210000003,dark,8,1.3859586984307867e-05,1154.2
50,455.0630279,dark,8,1.3859586984307867e-05,1155.2
51,453.4691358,dark,8,1.3859586984307867e-05,1156.2
52,451.8745938999999,dark,8,1.3859586984307867e-05,1157.2
53,443.00389860000007,dark,8,1.3859586984307867e-05,1158.2
