parameter,dimension,meanmode,median,hpd_min,hpd_max,mass_fraction,mean,mode,power_density_nW,experiment_time_s
kon_mu,1,,0.5085805759663797,0.20738254370625986,0.8188542225146909,0.95,0.5159985152676224,0.5719014427385022,1.9397606623469608,0.0
kon_mu,2,,0.5617737119848364,0.0006271786287192876,2.311710278937238,0.95,0.7860115140013754,0.6380493424731474,1.9397606623469608,198.0
kon_mu,3,,5.844444272921,0.6517484298088256,19.481823172030403,0.95,7.850869991087888,4.4150957168497635,3.145912743951723,374.4
kon_mu,4,,1.5779201789702881,0.058229555174407095,15.041572112640107,0.95,4.351349295437669,11.124454700931947,3.145912743951723,468.0
kon_mu,5,,0.26603290411533326,0.015037906281308794,1.0625832674933875,0.95,0.37057423196820194,0.21659081362017954,0.08981012365831499,644.4
kon_mu,6,,0.262094385015209,0.055533267299314945,3.3364500921512414,0.95,0.6938980021243607,0.2508264945177347,0.08981012365831499,792.0
kon_mu,7,,0.24149258095171056,0.0008639991761482537,1.023460973668209,0.95,0.375591719869759,0.28085836436130396,0.022175339174892592,910.8
kon_mu,8,,0.3000375215669379,0.02119376160964831,1.1462559888329964,0.95,0.4107934691995821,0.18476795315255173,1.3859586984307867e-05,1105.2
kon_mu,9,,0.4397641559158662,0.008998594553089278,1.562467756363544,0.95,0.5796153676138756,0.6599726496502618,1.3859586984307867e-05,1260.0
kon_mu,10,,0.4012481801436647,2.3624244893380337e-05,0.7721736071533265,0.95,0.3972868399057006,0.45183307724631466,0.030906878975006543,1436.4
kon_mu,11,,0.5842282677236093,0.049876188209543176,1.29385690630259,0.95,0.6705637958531799,0.657551667873119,0.030906878975006543,1638.0
kon_mu,12,,0.7255507421581178,0.2170726341810068,1.078287634093702,0.95,0.7271071223659609,1.1443254517609949,0.06682573169467801,1810.8
kon_mu,13,,0.8712046192743488,0.17552189861132828,1.3946754290908736,0.95,0.8563742636154437,0.5554025236124301,0.06682573169467801,2012.4
kon_mu,14,,2.8582075068597943,0.19586919503570094,16.6225520113524,0.95,5.226476364271055,5.283124679745999,0.1083782783324549,2203.2
kon_sigma,1,,0.33833248754802125,0.1421902371626473,0.8589460353989317,0.95,0.4009400719591336,0.45143868277163973,1.9397606623469608,0.0
kon_sigma,2,,0.7595814660717959,0.023012843486366532,1.9561847420231844,0.95,0.8506826221504081,0.8960750017713507,1.9397606623469608,198.0
kon_sigma,3,,0.6231189999486055,0.01099278909013217,1.837912877685631,0.95,0.7308606050967541,0.1970073216660428,3.145912743951723,374.4
kon_sigma,4,,0.43475565763497737,0.007908468145322154,1.6554158621374764,0.95,0.5895426008842862,0.7637566805327624,3.145912743951723,468.0
kon_sigma,5,,0.28222224790491457,0.012434762116295659,1.312508909242909,0.95,0.42010352216723706,0.17439723515038136,0.08981012365831499,644.4
