parameter,dimension,meanmode,median,hpd_min,hpd_max,mass_fraction,mean,mode
rho,1,,9.349785631379575,4.323396607460837,45.96788461047033,0.95,12.677088267018565,7.964667453976344
alpha,1,,0.8727064090345771,0.5789726460879634,1.2650607684477506,0.95,0.8961822212297035,0.8095474486063985
gp_sigma,1,,0.2827613561266791,0.21781109529337034,0.3846543396191259,0.95,0.2894194183307739,0.2864621435558923
mch_predicted,1,,613.461284670691,455.74288688049705,783.6155680425259,0.95,611.6812850958515,728.7096213301428
mch_predicted,2,,608.2849474157845,462.7743380963584,756.7357256152642,0.95,607.4310999806055,566.9817413743701
mch_predicted,3,,621.1528997664014,477.64770865546285,771.3760865437301,0.95,621.2511857519997,601.2475772094595
mch_predicted,4,,631.6703503657882,477.54017452268374,770.891555169589,0.95,631.9344629024007,586.5842191457515
mch_predicted,5,,649.7256291127189,505.1123697389341,787.0403957182828,0.95,648.496038314851,520.5521785020694
mch_predicted,6,,657.2605123555957,500.77205817807004,795.1214752843637,0.95,656.9552163986725,592.2926890626768
mch_predicted,7,,657.6969861639354,512.3566299468993,806.7667142566677,0.95,657.7826016336365,591.0978395723988
mch_predicted,8,,655.1479617887735,512.9649986837987,803.1634129725238,0.95,655.4817285974523,587.6142952993624
mch_predicted,9,,652.5600639332797,503.98706203837605,800.0720108167469,0.95,653.8846166078852,666.2802439228565
mch_predicted,10,,654.6255573200474,505.43808059125274,802.0465178557356,0.95,655.8565370225299,718.162057197414
mch_predicted,11,,665.0847723399336,507.3450450700167,808.1557982509817,0.95,665.4548872818973,612.8208628330055
mch_predicted,12,,677.1546291694276,534.4121231298918,821.8191385507384,0.95,676.7656724903096,771.5469828891886
mch_predicted,13,,690.8468375647403,543.627910344231,838.58082044801,0.95,689.7152041456618,611.7317762994653
mch_predicted,14,,700.7777361001297,547.2168267671802,848.0236715231925,0.95,702.3087078810635,787.2921503728146
mch_predicted,15,,714.1247301532883,562.8887754639449,863.9881994878235,0.95,713.3146671261676,708.5668759680692
mch_predicted,16,,739.304864860084,588.1469587754544,885.2438717020102,0.95,739.9126262906475,799.8386412619337
mch_predicted,17,,780.3142996355941,634.2412063000112,931.8004060686955,0.95,780.8719720700572,848.2966676469188
mch_predicted,18,,863.2448222294781,706.9830810636856,1019.6194985096727,0.95,863.936303906898,861.4323783618435
mch_predicted,19,,907.5536775147056,751.9377656398717,1073.2391409772374,0.95,905.5537502859587,787.1085719453318
mch_predicted,20,,865.8985788040195,721.6968729677424,1021.5848917342428,0.95,864.8587203517848,930.9225369298213
mch_predicted,21,,808.8402600122959,665.5065290693319,966.5549739478496,0.95,809.8333821344813,848.9676713451653
mch_predicted,22,,781.0343673291001,621.3105011363903,942.7357602068946,0.95,783.6866108114053,710.7521057996187
mch_predicted,23,,828.535489844518,675.0632665379808,999.0539322741517,0.95,831.5114221948206,731.1596437559035
mch_predicted,24,,1027.7953839065553,862.7543204591308,1171.5232627670314,0.95,1026.513361733013,1092.5675721716239
mch_predicted,25,,1114.7913044852753,953.3034415311237,1272.8330184875913,0.95,1110.1087175042467,1199.4658285075857
mch_predicted,26,,1142.0104757768584,977.7973413967948,1299.971277414027,0.95,1139.6524363773487,1096.5696441521795
mch_predicted,27,,1120.8363590278266,965.9664598710804,1273.8345393219022,0.95,1119.3306972556966,1137.1356628477095
mch_predicted,28,,1073.202454543932,935.7176062377811,1232.7451566352815,0.95,1072.2918444363122,1021.7265089357448
mch_predicted,29,,969.8618504573692,821.5362189513319,1138.51136201155,0.95,973.0256677844012,917.5714435844541
mch_predicted,30,,955.8182841727819,810.6287201389746,1128.3390302363994,0.95,959.5717089012636,902.7102799892073
mch_predicted,31,,1001.2576931134003,834.158793524125,1151.631155015491,0.95,1001.2283425395889,1059.0397086318003
mch_predicted,32,,1080.7344626627914,931.4941526343821,1239.7473817129564,0.95,1082.8894266752336,1157.828323664993
mch_predicted,33,,1287.6673763216027,1107.4895871081762,1444.7531268883158,0.95,1285.905664578155,1311.9035151884927
mch_predicted,34,,1297.5143639678336,1121.7450598522428,1456.743636105373,0.95,1295.7647439385182,1304.9368250460054
mch_predicted,35,,1159.7244416182634,974.0892673591653,1327.2912293829993,0.95,1158.1848720430112,1169.8688306264653
mch_subtracted,1,,-27.93816797069087,-198.0924513425257,129.78022981950312,0.95,-26.15816839585136,-143.18650463014262
mch_subtracted,2,,447.4195873293089,277.2653039574741,605.1379851195029,0.95,449.1995869041485,332.17125066985716
