parameter,dimension,meanmode,median,hpd_min,hpd_max,mass_fraction,mean,mode
rho,1,,8.959347077099032,5.48441505135583,12.297911811333558,0.95,8.948061343729186,9.19677492847548
alpha,1,,0.9361673383059533,0.5710476805822565,1.4870982371709727,0.95,0.9836726389763163,0.9368719299667596
sigma,1,,0.275924538868355,0.21719959000132233,0.3501922959368155,0.95,0.27871045127394634,0.2774420186934345
f_predict,1,,-1.0435585262940679,-1.5059632985780755,-0.5769204586109538,0.95,-1.0444131189272534,-1.004797714800855
f_predict,2,,-1.0444372850541037,-1.5043387730023328,-0.5785445180652415,0.95,-1.0447926497809807,-1.0049032353735181
f_predict,3,,-1.0444692362084584,-1.5025486650542852,-0.5795048596449952,0.95,-1.0451693668483695,-1.0050166672424734
f_predict,4,,-1.0444252530987064,-1.5008290543382317,-0.5804931325773665,0.95,-1.0455425761324788,-1.0051576096451615
f_predict,5,,-1.0448722218445918,-1.498410083556519,-0.580809716326491,0.95,-1.045913157057029,-1.0052831038306838
f_predict,6,,-1.0450030771954761,-1.4942433305271265,-0.5804424884573909,0.95,-1.0462807167793107,-1.005394713012285
f_predict,7,,-1.045222744792353,-1.493701287059307,-0.581413064288213,0.95,-1.0466455638974859,-1.0055114177974065
f_predict,8,,-1.0451550638797489,-1.4942012012818688,-0.584046122086966,0.95,-1.0470069697983735,-1.005641991513303
f_predict,9,,-1.0451978204826902,-1.5044886249200569,-0.59683148662582,0.95,-1.0473657957890141,-1.0057614010544318
f_predict,10,,-1.0453518172547618,-1.5023288142174593,-0.5967107995520656,0.95,-1.047721538672613,-1.0059093833429114
f_predict,11,,-1.045478918025137,-1.4948012110800182,-0.5911292590895053,0.95,-1.04807408460249,-1.0060274092869634
f_predict,12,,-1.0459387661024895,-1.4956491663263516,-0.5951122221800923,0.95,-1.0484240237301983,-1.006160284215991
f_predict,13,,-1.04668644560179,-1.4905667765221067,-0.5927335036811284,0.95,-1.0487708057296081,-1.0063079446967433
f_predict,14,,-1.0471247408536901,-1.5025461559139595,-0.6065870636397384,0.95,-1.0491143272118586,-1.0064281240139898
f_predict,15,,-1.0472209044995793,-1.5007362871050403,-0.6089759359190428,0.95,-1.0494556493463525,-1.006584523985687
f_predict,16,,-1.0477610451588109,-1.5020093575080302,-0.6113653269282842,0.95,-1.049793502452757,-1.0067156656148624
f_predict,17,,-1.0482236470074013,-1.5004160142969454,-0.6126734639233975,0.95,-1.0501283550165035,-1.0068722570039612
f_predict,18,,-1.0485476559968472,-1.4989842505854505,-0.6131455662245436,0.95,-1.0504604362271,-1.0070162643030909
f_predict,19,,-1.0491185795630709,-1.498729658208023,-0.6144067021562101,0.95,-1.0507894857970188,-1.0071555913695744
f_predict,20,,-1.049567065535744,-1.500371154592731,-0.6172617386185519,0.95,-1.05111528531968,-1.0073285542210368
f_predict,21,,-1.049944986976386,-1.50286252533959,-0.6233178269504731,0.95,-1.0514385599998937,-1.0074623712217796
f_predict,22,,-1.0504541141773696,-1.5016797813057772,-0.6238338830124491,0.95,-1.0517588163266132,-1.0076054412809519
f_predict,23,,-1.050649406705885,-1.486187502052077,-0.6105180600221375,0.95,-1.0520757597150334,-1.0077673032875663
f_predict,24,,-1.0509106199125473,-1.4937575438253028,-0.6206534561089008,0.95,-1.0523903567929629,-1.007933814094469
f_predict,25,,-1.0506816447185265,-1.4931012767942125,-0.6227800859683695,0.95,-1.052701430144915,-1.0080711613880688
