activation_time_s,mean_mcherry_intensity,region,point_idx,power_density_nW,experiment_time_s,mch_median_sub
0,585.5231167000002,activated,1,1.9397606623469608,0.0,-24.284364352232956
1,1060.880872,activated,1,1.9397606623469608,1.0,450.95158057207175
2,1476.282637,activated,1,1.9397606623469608,2.0,866.9552850565312
3,1733.119685,activated,1,1.9397606623469608,3.0,1121.0433614837639
4,1873.397649,activated,1,1.9397606623469608,4.0,1265.8958966901598
5,1973.555897,activated,1,1.9397606623469608,5.0,1362.6505477321555
6,2036.597678,activated,1,1.9397606623469608,6.0,1428.4144978176314
7,2075.840178,activated,1,1.9397606623469608,7.0,1466.1534359208517
8,2105.018777,activated,1,1.9397606623469608,8.0,1495.5187496817318
9,2127.822533,activated,1,1.9397606623469608,9.0,1518.6569113387586
10,2144.2604,activated,1,1.9397606623469608,10.0,1534.8477410258656
11,2152.746892,activated,1,1.9397606623469608,11.0,1542.3630241685473
12,2174.362627,activated,1,1.9397606623469608,12.0,1565.3728113176667
13,2180.990397,activated,1,1.9397606623469608,13.0,1572.6539574881317
14,2180.691224,activated,1,1.9397606623469608,14.0,1567.2327191046077
15,2189.385137,activated,1,1.9397606623469608,15.0,1578.5493027962732
16,2190.3198190000007,activated,1,1.9397606623469608,16.0,1579.22758539516
17,2200.682666,activated,1,1.9397606623469608,17.0,1592.0426080130328
18,2187.512428,activated,1,1.9397606623469608,18.0,1578.0553125248812
19,2201.235208,activated,1,1.9397606623469608,19.0,1591.9864204749047
20,2203.139722,activated,1,1.9397606623469608,20.0,1597.0219463046299
21,2198.987314,activated,1,1.9397606623469608,21.0,1589.0094690071223
22,2198.507934,activated,1,1.9397606623469608,22.0,1590.0599945876625
23,2205.219758,activated,1,1.9397606623469608,23.0,1598.8810123128146
24,2200.261811,activated,1,1.9397606623469608,24.0,1593.5478373474511
0,635.10009,activated,2,1.9397606623469608,198.0,29.25250385728657
1,1055.232897,activated,2,1.9397606623469608,199.0,450.8142959963549
2,1412.588765,activated,2,1.9397606623469608,200.0,807.4202413256868
3,1641.127564,activated,2,1.9397606623469608,201.0,1036.5526059895722
4,1761.962127,activated,2,1.9397606623469608,202.0,1156.455868363661
5,1839.652335,activated,2,1.9397606623469608,203.0,1234.8251150493084
6,1882.474073,activated,2,1.9397606623469608,204.0,1277.1238169816063
7,1904.484919,activated,2,1.9397606623469608,205.0,1298.9840727184937
8,1933.601782,activated,2,1.9397606623469608,206.0,1327.2885404718525
9,1949.28453,activated,2,1.9397606623469608,207.0,1343.287766854026
10,1970.539931,activated,2,1.9397606623469608,208.0,1365.817456593945
11,1969.20648,activated,2,1.9397606623469608,209.0,1362.8076745133799
12,1985.810741,activated,2,1.9397606623469608,210.0,1379.5715436819687
13,1984.772508,activated,2,1.9397606623469608,211.0,1377.9793451338664
14,1989.633669,activated,2,1.9397606623469608,212.0,1384.068617802986
15,1995.325863,activated,2,1.9397606623469608,213.0,1389.354404958235
16,1988.052777,activated,2,1.9397606623469608,214.0,1382.3050734556628
17,1996.457381,activated,2,1.9397606623469608,215.0,1391.0012150001144
18,1997.413174,activated,2,1.9397606623469608,216.0,1393.090040801261
19,1980.235179,activated,2,1.9397606623469608,217.0,1376.3571111806716
20,1982.705461,activated,2,1.9397606623469608,218.0,1375.4020683812346
21,1995.713514,activated,2,1.9397606623469608,219.0,1389.16399684295
22,1983.919395,activated,2,1.9397606623469608,220.0,1375.7261672187653
23,1988.80292,activated,2,1.9397606623469608,221.0,1382.3373771879174
24,1994.515499,activated,2,1.9397606623469608,222.0,1387.5755636337658
0,581.167945,activated,3,3.145912743951723,374.4,-38.26904289252809
1,978.6208726,activated,3,3.145912743951723,375.4,361.3114964609058
2,1272.473777,activated,3,3.145912743951723,376.4,653.107087969055
3,1419.182402,activated,3,3.145912743951723,377.4,800.0965980423965
4,1516.984811,activated,3,3.145912743951723,378.4,897.2428632300474
5,1557.528383,activated,3,3.145912743951723,379.4,937.5705904915442
6,1598.715801,activated,3,3.145912743951723,380.4,978.6134958146331
7,1609.555468,activated,3,3.145912743951723,381.4,990.2050230392349
8,1630.85536,activated,3,3.145912743951723,382.4,1009.6280537380019
9,1630.449566,activated,3,3.145912743951723,383.4,1010.2554384737508
10,1646.757181,activated,3,3.145912743951723,384.4,1025.4818125345598
11,1650.019839,activated,3,3.145912743951723,385.4,1028.1238682257372
12,1656.820472,activated,3,3.145912743951723,386.4,1033.1317773309916
13,1656.841542,activated,3,3.145912743951723,387.4,1034.1591695900288
14,1663.224978,activated,3,3.145912743951723,388.4,1043.0384415695696
15,1661.12055,activated,3,3.145912743951723,389.4,1040.4824069837339
