parameter,dimension,meanmode,median,hpd_min,hpd_max,mass_fraction,mean,mode,experiment_id
rho,1,,9.47586673705377,5.338302343505682,39.029339588721434,0.95,13.201496985120393,6.832784677637374,1
alpha,1,,0.48775955479781086,0.3697278354408112,0.5969593526325231,0.95,0.48719228165733036,0.4752078015905445,1
eta,1,,-3.2047134034697127,-4.28960039777942,-2.2468253610291127,0.95,-3.233082196514669,-3.277869694548002,1
eta,2,,-2.020771006049804,-3.249291119634436,0.1617889174578812,0.95,-1.8613951158413553,-2.37898446243828,1
eta,3,,-1.1916517118717311,-2.7945246739809924,1.0047509795294904,0.95,-1.06983965632343,-2.116865163160958,1
eta,4,,-0.46279864479380933,-2.2817902095876526,1.203822285881086,0.95,-0.4457754889215292,-1.1226828156046833,1
eta,5,,-0.47553811554325076,-2.2280006297126027,1.2426252114014245,0.95,-0.46183538447365996,-0.5853863675489535,1
eta,6,,-0.9076946293012373,-2.7883042864035974,1.2029642331801211,0.95,-0.8454637955201249,-1.3262228863850152,1
eta,7,,-0.9317560842672747,-2.8967238750434836,1.279422615986029,0.95,-0.8829887222688042,-0.952644731527048,1
eta,8,,-0.3933421395673756,-2.4852003820798823,1.5808908229678835,0.95,-0.3949370275203207,-1.6342263818319236,1
eta,9,,0.10100663358993356,-1.7346837370502404,1.9376890915025025,0.95,0.06984918946282284,-0.20168840417205852,1
eta,10,,0.012867421787110662,-1.9661575926249895,1.9770291842731498,0.95,0.00620552095971608,-0.31427497851062147,1
eta,11,,0.16251062862391674,-1.719650919400895,1.905058292890164,0.95,0.1578199963686499,-0.3259690482109101,1
eta,12,,0.01316073795905788,-1.9044101417718322,1.8144508953745615,0.95,-0.009285146192368227,-0.14085790908588625,1
eta,13,,-0.2888761160591627,-2.1707346513823222,1.7466670257377623,0.95,-0.2837424780017306,0.19422808222315446,1
eta,14,,-0.5867395465481023,-2.704383499675507,1.6206988889255611,0.95,-0.5560901991953849,-0.24207321155407616,1
eta,15,,-0.7309371302313182,-2.546751753016339,1.7371813978547597,0.95,-0.631174914402022,-0.907885421463945,1
eta,16,,-0.5331689285677248,-2.5619880567248843,1.6317712172913499,0.95,-0.47921088937612044,-0.7499640098476352,1
eta,17,,-0.1954586013069155,-2.246966069716324,2.0923283656923855,0.95,-0.15368339816508245,-1.440745131148774,1
eta,18,,0.3193750566508311,-1.8090411571799816,2.337855420855196,0.95,0.2995484464719048,-0.5781538395776902,1
eta,19,,0.7292112319051356,-1.2144290599367036,2.7534814947585553,0.95,0.6801880692868802,-0.7008862050273101,1
eta,20,,0.8167274754998559,-1.1569975136583737,2.656457115511346,0.95,0.7974949969024511,0.7776071593976154,1
eta,21,,0.734707370827675,-1.2176416329457682,2.5858580081874085,0.95,0.725898826312467,0.6415827690206201,1
eta,22,,0.4376265786881429,-1.4091019367997863,2.317816572909246,0.95,0.4246164891232072,1.0099649329016869,1
eta,23,,0.17560524939569339,-1.5951866441436644,2.0332859723044736,0.95,0.1814412957699776,1.0509795119077003,1
eta,24,,0.11529321598011699,-1.6390308730828487,1.8757203698173879,0.95,0.11301541409637235,-0.19110443577022473,1
eta,25,,0.25836938830893963,-1.548877312416733,1.9099925545277872,0.95,0.2533317976886459,0.40963624750806094,1
eta,26,,0.35022422581857676,-1.3000289023439604,2.2248843126823195,0.95,0.36875636602305684,0.9233967266109181,1
eta,27,,0.566819806034086,-1.1517329792842121,2.1896645729235127,0.95,0.5633298475643926,-0.3857195099110049,1
eta,28,,0.6376677081421979,-1.054364240501477,2.3177933434124687,0.95,0.6347802554168458,0.7304271558971018,1
eta,29,,0.5960116718284942,-1.093869263610404,2.381674451603203,0.95,0.5842517202299194,0.22443829875322857,1
eta,30,,0.5225071143246292,-1.2345336364772086,2.1643844158670293,0.95,0.5121976368920588,1.1585893462990697,1
eta,31,,0.44037812165258094,-1.2286723064518035,2.177620023300119,0.95,0.4364141207144443,0.8095667526002491,1
eta,32,,0.3698002411070461,-1.4112421489346794,2.106449983580134,0.95,0.39156776219873035,0.38569823554640104,1
eta,33,,0.45283734619443095,-1.2810807251413625,2.216794985536504,0.95,0.45628184523841764,1.199579628080923,1
eta,34,,0.5683016779904815,-1.2001485165716348,2.3284965746176414,0.95,0.563440840486993,-0.3272183925969215,1
eta,35,,0.6335097046017756,-1.0643519835928885,2.3938108119835366,0.95,0.6371515409992143,1.037190462790008,1
eta,36,,0.6895498487131841,-1.1328320374910479,2.409494331001378,0.95,0.670749390707689,0.8816568157130553,1
eta,37,,0.6580433728954369,-1.180458368096912,2.342102161250328,0.95,0.6486481016770068,0.6049982970984411,1
eta,38,,0.6325839922052797,-1.118637690480224,2.48755789513072,0.95,0.6310558847596133,2.3949173745332497,1
eta,39,,0.6547590825345816,-1.2077610803404344,2.4106838669776107,0.95,0.647491576104867,-0.9792613577123416,1
eta,40,,0.59397600367662,-1.1935921640910896,2.4998009132961077,0.95,0.577574522958341,1.2794402308320323,1
eta,41,,0.5111541158183321,-1.2557173677336748,2.31041433146118,0.95,0.5205231836991709,0.9758588910189356,1
eta,42,,0.5859426367170706,-1.3661988721882994,2.2727250490005266,0.95,0.5602335674807273,0.7869149050117075,1
eta,43,,0.7756713327212168,-1.2152224604767425,2.6303843003951286,0.95,0.750195306776462,1.0421283429338966,1
eta,44,,0.9228898528872975,-1.0504727959882887,2.822162603994353,0.95,0.8841918145195083,0.7016265888030949,1
eta,45,,0.8453062353480267,-1.243471243032053,2.6721759533709832,0.95,0.824482233562062,0.7534704465508985,1
eta,46,,0.6094510361406986,-1.370409064899105,2.4233094993693745,0.95,0.5772281718900885,1.4649248640860622,1
eta,47,,0.2913086252663042,-1.5698963021048413,2.041548885545306,0.95,0.28254015222821854,1.5814968004477024,1
eta,48,,0.1808682404340911,-1.6717223023375913,2.1018117110304493,0.95,0.1671414537562389,0.9383954865378223,1
eta,49,,0.14666914692312435,-1.854199297681215,2.049620306775561,0.95,0.15114209811589738,-0.9548949408373519,1
eta,50,,0.09894792737828956,-1.8313829895567157,1.9742191308643513,0.95,0.09313202938546669,0.48997872912446305,1
eta,51,,-0.007385226508584436,-1.7858443594194608,2.1080791932521667,0.95,0.019927491016042645,0.7931625482562963,1
eta,52,,0.02378714393407677,-1.9307157441527014,1.9129298588587482,0.95,0.017339607980169633,-0.8355048618513136,1
