experiment_time_s,deactivation_time_s,point_idx,mean_mcherry_intensity,region,rel_point_idx
1810.8,0,12,368.8517723,dark,1
1811.8,1,12,365.0314651,dark,1
1812.8,2,12,361.2751115,dark,1
1813.8,3,12,363.5411805,dark,1
1814.8,4,12,358.2255503,dark,1
1815.8,5,12,352.6910543,dark,1
1816.8,6,12,359.5341734,dark,1
1817.8,7,12,354.9433538,dark,1
1818.8,8,12,354.1998465,dark,1
1819.8,9,12,351.9510394,dark,1
1820.8,10,12,351.8432749,dark,1
1821.8,11,12,352.8984306,dark,1
1822.8,12,12,351.4661046,dark,1
1823.8,13,12,352.1448465,dark,1
1824.8,14,12,350.2669699,dark,1
1825.8,15,12,352.6861716,dark,1
1826.8,16,12,347.7521828,dark,1
1827.8,17,12,348.5090147,dark,1
1828.8,18,12,342.7013425,dark,1
1829.8,19,12,353.2191549,dark,1
1830.8,20,12,348.4908852,dark,1
1831.8,21,12,350.0679354,dark,1
1832.8,22,12,349.0031476,dark,1
1833.8,23,12,349.966188,dark,1
1834.8,24,12,348.5487771,dark,1
1835.8,25,12,349.5176567,dark,1
1836.8,26,12,350.4433928,dark,1
1837.8,27,12,343.9665773,dark,1
1838.8,28,12,346.0032032,dark,1
1839.8,29,12,347.0869101,dark,1
1840.8,30,12,345.3420903,dark,1
1841.8,31,12,348.2608415,dark,1
1842.8,32,12,344.7043233,dark,1
1843.8,33,12,346.3598972,dark,1
1844.8,34,12,345.6337297,dark,1
1845.8,35,12,342.7939806,dark,1
1846.8,36,12,343.4283665,dark,1
1847.8,37,12,342.1937292,dark,1
1848.8,38,12,343.0754763,dark,1
1849.8,39,12,341.4034301,dark,1
1850.8,40,12,344.7285811,dark,1
1851.8,41,12,342.164711,dark,1
1852.8,42,12,339.8416955,dark,1
1853.8,43,12,340.1085987,dark,1
1854.8,44,12,339.6602009,dark,1
1855.8,45,12,338.9829383,dark,1
1856.8,46,12,338.7404709,dark,1
1857.8,47,12,339.3773593,dark,1
1858.8,48,12,338.0939283,dark,1
1859.8,49,12,336.9238563,dark,1
1860.8,50,12,340.592132,dark,1
1861.8,51,12,337.7806449,dark,1
1862.8,52,12,336.8482354,dark,1
1863.8,53,12,335.8556985,dark,1
1864.8,54,12,335.3044189,dark,1
1865.8,55,12,335.4460288,dark,1
1866.8,56,12,334.3327031,dark,1
1867.8,57,12,336.2647232,dark,1
1868.8,58,12,338.446774,dark,1
1869.8,59,12,331.797295,dark,1
