parameter,dimension,meanmode,median,hpd_min,hpd_max,mass_fraction,mean,mode
kon_mu,1,,0.5164612464121283,0.2393882353527768,0.8255166638284143,0.95,0.5309196663963424,0.7153413217859131
kon_mu,2,,3.0016150347296517,0.0026442902769324194,19.37952007069502,0.95,5.371858936552875,22.177089784428752
kon_mu,3,,94.19555664748543,0.42411855859823644,182.89285877633728,0.95,93.98791864140512,45.73071418020483
kon_mu,4,,0.9093753074375397,1.6166874018403788e-05,5.164726023355154,0.95,1.8195425339962479,0.5851995044489082
kon_mu,5,,0.2614270913625551,0.0027190257904443184,2.5916226911160694,0.95,0.8282160650723032,0.17037321152362994
kon_mu,6,,0.29287175175572083,0.0013901768076501678,3.8335127939661353,0.95,0.8703909731597942,0.178641665383611
kon_mu,7,,0.22306523152897018,0.0007498927485822444,4.031073670344202,0.95,0.8534689898517288,0.10433385811380368
kon_mu,8,,0.3270243586771656,0.00035940909271843497,4.219859763552534,0.95,0.9755855208715708,0.2672764479812509
kon_mu,9,,0.6746931413278233,0.004117417780133389,4.314550985944139,0.95,1.5259251846093262,0.7230796648415928
kon_mu,10,,0.42848596414696044,0.003205494117895376,3.350988438004197,0.95,0.9267273119937676,0.4013740010177703
kon_mu,11,,0.7389548614084205,0.0010252179987250121,3.766091972492681,0.95,1.308860741817395,0.5275679252895927
kon_mu,12,,0.728977520840981,0.3246276075727724,1.1346236041660454,0.95,0.717983808196618,0.8391174373674507
kon_mu,13,,0.8289338612113999,0.0006003763516972245,1.5146816204056655,0.95,0.8956118605589332,0.7420752051424876
kon_mu,14,,88.6437963671158,0.07405917063608099,179.21548637837844,0.95,92.33582583912927,114.42219321398018
kon_sigma,1,,0.243680764582884,0.10462660645403224,0.5935372320979739,0.95,0.28705274037537554,0.3862965285954231
kon_sigma,2,,4.033481759539937,0.0025080672135943546,18.45416926782953,0.95,6.413735715600431,18.614200518892893
kon_sigma,3,,9.280622914318794,0.277876979508973,18.50407861994649,0.95,9.09080492031807,2.369212336703443
kon_sigma,4,,1.450608997718972,0.01371986818437029,8.799262328619243,0.95,2.857131862649001,0.18938618035278879
kon_sigma,5,,0.32587085475244126,0.0017094069721040766,8.385036414343462,0.95,2.2215858694383006,0.08192682662073053
kon_sigma,6,,0.292550845617767,0.013734921427825382,7.099097902124337,0.95,1.3474066277471168,0.06769146963218375
kon_sigma,7,,0.20687813373914876,0.014792634032446494,7.304781022766135,0.95,1.371511042465656,0.16071431945034972
kon_sigma,8,,0.19022030897510228,0.015150296837393263,7.152371326153741,0.95,1.3398872807742952,0.05741575674420683
kon_sigma,9,,1.0489975068110893,0.018586811619566726,11.737122773634692,0.95,3.6741700361350658,0.17912966169257105
kon_sigma,10,,0.10782656136349064,0.0029724314063867296,6.2322974194529746,0.95,1.0813380590795245,0.06389991913122989
kon_sigma,11,,0.8193751817424084,0.008076420239319477,7.329579466693048,0.95,1.661188442052273,0.12187577654438658
kon_sigma,12,,0.24845516235382922,0.07977700944392199,0.8306977359672798,0.95,0.33413948618077566,0.2512014432437829
kon_sigma,13,,0.4168363919625503,0.005308590503502517,1.793195801976347,0.95,0.6146408996566718,0.07267557778820889
kon_sigma,14,,5.166439954453178,0.048512479553135764,18.24535812810999,0.95,6.866451000836178,19.873606640975858
saturation_mu,1,,1101.007923705163,833.0233133947876,1306.6369932367688,0.95,1084.5028405127637,1074.5794526412808
saturation_mu,2,,307.2316891719179,114.44363994766843,482.69187620788284,0.95,307.8618192012445,231.1207289641956
saturation_mu,3,,33.52014039035801,0.135133765524521,90.44830144067511,0.95,38.03355147632031,26.394252879003897
saturation_mu,4,,91.81394666964141,25.795962610520377,175.72273213661788,0.95,95.96066498397144,103.9474050854943
saturation_mu,5,,222.54677436622086,125.69515672863902,313.7760147862667,0.95,221.82854766863792,204.38947632571615
saturation_mu,6,,294.8366806870604,203.4736196572813,407.78607223103717,0.95,296.66330774260524,308.1730624054446
saturation_mu,7,,362.7130240263252,182.04053170197366,494.0224206633728,0.95,357.28901785783154,428.29266783194214
saturation_mu,8,,453.8991534031569,305.6014659667628,571.1048748476746,0.95,444.0617743160819,496.9913615124561
saturation_mu,9,,482.8328830827149,308.8693905792553,718.6786762089473,0.95,498.3937162841354,435.47580705233844
saturation_mu,10,,505.88067160983496,409.5407185281085,624.6949953819449,0.95,508.70521670516325,516.9170179058441
saturation_mu,11,,829.5794326761271,621.82144226151,902.436987445868,0.95,795.9486836721968,865.3728542678391
saturation_mu,12,,967.5282536780412,797.0074560967506,1079.2886536038782,0.95,951.5888986287055,1044.5851880682915
saturation_mu,13,,329.841964127242,159.98181486004606,555.4745538445529,0.95,339.21071739091946,200.86895597733871
saturation_mu,14,,2.9440141977495227,0.0024732114725792586,43.07687384518702,0.95,9.536669268451503,1.464511898906652
saturation_sigma,1,,288.1825607467717,200.74588350127976,373.88449340269625,0.95,287.0023376632191,285.86780221735313
saturation_sigma,2,,50.21594452844944,0.8403989750790891,176.25257195468944,0.95,70.28286133621809,74.58974577714963
saturation_sigma,3,,42.200806546893695,16.305101412019887,122.8807062867329,0.95,52.670589983545646,28.793074185480425
saturation_sigma,4,,27.184660625526316,4.745094342911,125.14633513199173,0.95,41.49542234059988,9.426047249329006
saturation_sigma,5,,50.60957432757049,9.621408128106077,140.9996364958123,0.95,59.02662366374109,45.05079225863886
saturation_sigma,6,,41.49078975658612,10.748802950240462,147.48587168615038,0.95,60.116640129688314,21.96910523718198
saturation_sigma,7,,97.28413035225256,34.18395119815612,194.17400118130584,0.95,105.68902903896497,82.44775989325137
saturation_sigma,8,,69.32419033562823,25.867804839418934,177.39032779271514,0.95,84.91660661612217,61.78354625268508
saturation_sigma,9,,122.17873493935787,66.12287392536531,233.81349554448403,0.95,137.4307840501718,106.2770181456774
saturation_sigma,10,,44.902555530244804,7.910873473742538,150.4000310554232,0.95,60.59914016888537,13.126521058974749
saturation_sigma,11,,48.8727371433302,2.3975131600670494,161.90096854330497,0.95,69.623518244936,28.36494876549247
saturation_sigma,12,,128.0389964523389,77.69324605805187,220.0998975827076,0.95,140.64508583206853,138.3645556153599
saturation_sigma,13,,194.67004090299093,116.14666732798061,289.6094358388258,0.95,198.42215254655142,276.1132716193209
saturation_sigma,14,,3.8768355811993374,0.007429228016110571,83.1634264326297,0.95,15.857495084318835,0.2294031991210961
kon,1,,0.5551488585833974,0.5365428156912593,0.5709394394284533,0.95,0.5541783723604676,0.5518382055703561
kon,2,,0.6202053171709554,0.6035432764920685,0.6427417293786836,0.95,0.620556364019321,0.6237032627139873
kon,3,,0.6856014228695753,0.6638173747253255,0.7144548600618388,0.95,0.6878240019030566,0.6831955454240504
kon,4,,0.6884211683854244,0.6703039698281519,0.7155001479559326,0.95,0.6910580142626226,0.699091958423862
kon,5,,0.23241983786531667,0.22140634556618102,0.2402026198734521,0.95,0.23213859841236786,0.23395870664447954
