time_min,power_density_nW,preact_intensity,saturation_intensity,total_intensity,experiment_id
0.0,1.9397606623469614,466,2329.0,2795.0,1
8.879999999999981,1.9397606623469614,444,1145.0,1589.0,1
11.700000000000017,1.1960507914349405,483,855.0,1338.0,1
14.45999999999998,1.1960507914349405,494,809.0,1303.0,1
17.460000000000022,0.7167760902209894,514,680.0,1194.0,1
20.039999999999978,0.7167760902209894,520,680.0,1200.0,1
22.559999999999967,0.44196205574825337,701,760.0,1461.0,1
25.259999999999962,0.44196205574825337,899,802.0,1701.0,1
27.89999999999999,0.17576838915843104,644,422.0,1066.0,1
27.89999999999999,0.27251252013861094,804,490.0,1294.0,1
30.480000000000054,0.27251252013861094,686,390.0,1076.0,1
32.88,0.17576838915843104,636,420.0,1056.0,1
37.44000000000003,0.1083782783324549,743,409.0,1152.0,1
40.079999999999956,0.1083782783324549,955,413.0,1368.0,1
42.48000000000001,0.066825731694678,963,350.0,1313.0,1
44.52000000000005,0.066825731694678,953,356.0,1309.0,1
48.47999999999999,0.0338173922417112,946,163.0,1109.0,1
51.06000000000005,0.0338173922417112,1062,102.0,1164.0,1
53.51999999999997,0.027996365708301895,832,70.25,902.25,1
55.79999999999998,0.027996365708301895,780,109.0,889.0,1
58.62000000000002,0.08981012365831499,850,199.0,1049.0,1
61.126666666666694,0.022175339174892592,799,55.28,854.28,1
64.31999999999995,3.145912743951723,897,852.0,1749.0,1
67.32,3.145912743951723,1286,1029.0,2315.0,1
70.19999999999999,3.146126245437886,1280,1123.0,2403.0,1
72.35999999999997,3.146126245437886,1436,1068.0,2504.0,1
77.22000000000006,3.146126245437886,1307,1062.0,2369.0,1
80.58,3.146126245437886,1275,878.0,2153.0,1
83.1,3.146126245437886,1270,855.0,2125.0,1
85.38,3.146126245437886,1303,832.0,2135.0,1
89.09999999999997,1.9397606623469614,1280,765.0,2045.0,1
91.01999999999997,1.9397606623469614,1215,765.0,1980.0,1
93.18000000000005,1.9397606623469614,1400,837.0,2237.0,1
96.30000000000003,0.7167760902209894,1357,684.0,2041.0,1
98.76000000000005,0.7167760902209894,1403,627.0,2030.0,1
101.10000000000002,0.7167760902209894,1334,666.0,2000.0,1
103.31999999999996,0.27251252013861094,1280,402.0,1682.0,1
107.04000000000005,0.27251252013861094,1368,408.0,1776.0,1
110.45999999999995,0.27251252013861094,1380,428.0,1808.0,1
113.28,0.1083782783324549,1462,364.0,1826.0,1
116.34,0.1083782783324549,1359,252.0,1611.0,1
118.91999999999996,0.1083782783324549,1459,241.0,1700.0,1
